iter	Passed	Remaining
0	4	4076
1	7	3948
2	11	3857
3	15	3812
4	18	3727
5	22	3676
6	25	3649
7	29	3607
8	32	3605
9	36	3599
10	40	3636
11	43	3617
12	48	3672
13	52	3662
14	55	3665
15	59	3641
16	62	3633
17	66	3623
18	69	3602
19	73	3585
20	76	3575
21	80	3567
22	83	3567
23	87	3560
24	91	3554
25	94	3555
26	98	3548
27	102	3544
28	105	3546
29	109	3534
30	112	3527
31	116	3522
32	120	3520
33	123	3518
34	127	3516
35	131	3511
36	136	3564
37	140	3563
38	144	3561
39	151	3632
40	154	3623
41	158	3612
42	161	3603
43	165	3600
44	169	3589
45	172	3583
46	176	3576
47	179	3564
48	183	3561
49	186	3552
50	190	3543
51	194	3540
52	206	3693
53	211	3707
54	223	3845
55	229	3873
56	234	3881
57	239	3882
58	242	3872
59	246	3866
60	250	3855
61	254	3843
62	257	3831
63	261	3821
64	265	3813
65	270	3824
66	277	3858
67	280	3844
68	284	3832
69	287	3820
70	291	3807
71	295	3802
72	298	3792
73	302	3780
74	305	3767
75	309	3758
76	312	3748
77	316	3738
78	319	3728
79	323	3719
80	327	3711
81	332	3718
82	335	3706
83	338	3693
84	341	3681
85	345	3667
86	348	3654
87	351	3640
88	354	3629
89	357	3616
90	360	3604
91	363	3592
92	367	3581
93	370	3569
94	373	3558
95	376	3547
96	379	3535
97	383	3526
98	386	3516
99	389	3507
100	393	3498
101	396	3487
102	402	3501
103	406	3500
104	410	3500
105	414	3498
106	419	3497
107	423	3496
108	427	3493
109	432	3498
110	436	3497
111	441	3501
112	446	3502
113	450	3499
114	453	3488
115	456	3480
116	460	3472
117	463	3462
118	466	3452
119	469	3442
120	472	3435
121	480	3460
122	484	3453
123	487	3445
124	490	3435
125	493	3426
126	497	3417
127	500	3410
128	504	3402
129	507	3394
130	510	3386
131	514	3380
132	517	3375
133	521	3369
134	524	3363
135	528	3358
136	532	3351
137	535	3345
138	539	3339
139	542	3333
140	546	3327
141	549	3322
142	553	3316
143	556	3310
144	560	3304
145	563	3298
146	567	3292
147	570	3286
148	574	3282
149	578	3277
150	582	3272
151	585	3267
152	589	3261
153	593	3258
154	600	3274
155	604	3272
156	609	3270
157	613	3268
158	621	3284
159	629	3303
160	638	3325
161	642	3325
162	647	3323
163	659	3360
164	663	3357
165	674	3389
166	678	3385
167	684	3389
168	688	3385
169	692	3380
170	696	3375
171	699	3369
172	703	3364
173	707	3358
174	712	3357
175	715	3351
176	720	3348
177	723	3341
178	727	3335
179	730	3328
180	734	3322
181	737	3316
182	741	3310
183	745	3304
184	748	3298
185	752	3292
186	755	3285
187	759	3279
188	762	3273
189	767	3270
190	770	3264
191	774	3260
192	778	3254
193	782	3249
194	785	3244
195	792	3250
196	797	3248
197	801	3247
198	813	3275
199	819	3277
200	823	3271
201	828	3272
202	831	3266
203	835	3261
204	839	3254
205	842	3248
206	846	3243
207	850	3237
208	853	3230
209	857	3225
210	863	3227
211	866	3221
212	870	3215
213	888	3264
214	894	3265
215	903	3281
216	911	3289
217	920	3300
218	925	3302
219	931	3303
220	938	3306
221	943	3304
222	949	3307
223	954	3307
224	961	3310
225	965	3308
226	976	3324
227	983	3328
228	988	3328
229	993	3324
230	997	3321
231	1006	3332
232	1012	3334
233	1026	3361
234	1033	3365
235	1043	3377
236	1051	3384
237	1057	3384
238	1062	3382
239	1069	3387
240	1075	3387
241	1083	3394
242	1089	3393
243	1096	3397
244	1102	3396
245	1105	3389
246	1112	3392
247	1116	3385
248	1120	3378
249	1123	3371
250	1127	3364
251	1131	3357
252	1135	3351
253	1138	3344
254	1142	3337
255	1146	3330
256	1149	3324
257	1153	3318
258	1160	3320
259	1164	3314
260	1168	3308
261	1171	3301
262	1175	3295
263	1181	3292
264	1187	3293
265	1194	3297
266	1199	3292
267	1203	3285
268	1207	3281
269	1211	3274
270	1214	3267
271	1218	3260
272	1222	3256
273	1228	3255
274	1233	3253
275	1237	3246
276	1241	3239
277	1244	3232
278	1248	3225
279	1252	3220
280	1256	3214
281	1260	3208
282	1263	3202
283	1267	3195
284	1271	3189
285	1274	3182
286	1278	3175
287	1281	3168
288	1285	3161
289	1289	3156
290	1292	3150
291	1296	3142
292	1299	3136
293	1304	3133
294	1308	3126
295	1311	3120
296	1315	3113
297	1319	3107
298	1322	3101
299	1326	3095
300	1330	3088
301	1333	3081
302	1336	3075
303	1340	3069
304	1344	3062
305	1347	3056
306	1351	3050
307	1354	3044
308	1358	3037
309	1362	3031
310	1365	3025
311	1369	3019
312	1373	3013
313	1382	3019
314	1386	3015
315	1391	3010
316	1396	3008
317	1400	3003
318	1404	2998
319	1408	2992
320	1411	2986
321	1415	2981
322	1419	2975
323	1423	2969
324	1427	2963
325	1430	2958
326	1434	2952
327	1438	2947
328	1442	2942
329	1446	2936
330	1450	2931
331	1453	2924
332	1457	2919
333	1461	2913
334	1465	2908
335	1468	2902
336	1472	2897
337	1476	2891
338	1480	2886
339	1483	2880
340	1488	2875
341	1493	2873
342	1497	2868
343	1501	2863
344	1505	2857
345	1509	2853
346	1513	2848
347	1517	2842
348	1522	2839
349	1525	2833
350	1529	2828
351	1533	2822
352	1538	2820
353	1542	2815
354	1546	2810
355	1550	2804
356	1555	2801
357	1558	2795
358	1563	2790
359	1573	2796
360	1577	2792
361	1582	2789
362	1587	2786
363	1592	2782
364	1599	2782
365	1603	2778
366	1608	2774
367	1612	2769
368	1617	2766
369	1621	2760
370	1625	2755
371	1629	2750
372	1633	2745
373	1637	2741
374	1641	2735
375	1645	2731
376	1649	2725
377	1652	2719
378	1656	2714
379	1663	2714
380	1668	2710
381	1672	2706
382	1676	2700
383	1680	2695
384	1684	2690
385	1687	2684
386	1691	2678
387	1696	2675
388	1699	2669
389	1702	2663
390	1706	2657
391	1709	2651
392	1712	2644
393	1715	2638
394	1718	2632
395	1721	2626
396	1725	2620
397	1728	2614
398	1732	2609
399	1735	2602
400	1738	2596
401	1741	2591
402	1745	2585
403	1748	2579
404	1751	2573
405	1754	2566
406	1757	2561
407	1761	2555
408	1767	2554
409	1772	2551
410	1777	2547
411	1785	2548
412	1790	2544
413	1793	2539
414	1797	2533
415	1801	2528
416	1804	2523
417	1808	2518
418	1812	2512
419	1815	2507
420	1818	2501
421	1822	2495
422	1825	2490
423	1829	2485
424	1833	2480
425	1837	2475
426	1840	2469
427	1844	2464
428	1848	2460
429	1851	2454
430	1855	2450
431	1859	2444
432	1863	2440
433	1866	2434
434	1870	2429
435	1874	2424
436	1878	2419
437	1882	2415
438	1887	2411
439	1891	2406
440	1894	2401
441	1898	2396
442	1902	2392
443	1907	2388
444	1912	2384
445	1915	2379
446	1919	2375
447	1924	2371
448	1928	2366
449	1933	2362
450	1936	2357
451	1942	2354
452	1946	2350
453	1949	2345
454	1953	2340
455	1958	2336
456	1964	2333
457	1967	2328
458	1980	2334
459	1991	2337
460	1995	2332
461	1998	2327
462	2002	2322
463	2007	2318
464	2010	2313
465	2014	2308
466	2021	2307
467	2025	2302
468	2029	2297
469	2032	2292
470	2038	2289
471	2041	2284
472	2045	2278
473	2049	2274
474	2053	2270
475	2057	2265
476	2061	2260
477	2065	2255
478	2069	2251
479	2073	2246
480	2077	2241
481	2083	2239
482	2087	2234
483	2091	2229
484	2094	2224
485	2099	2220
486	2102	2214
487	2106	2210
488	2109	2204
489	2114	2201
490	2118	2196
491	2121	2190
492	2125	2186
493	2129	2181
494	2133	2176
495	2137	2171
496	2140	2166
497	2144	2161
498	2148	2157
499	2160	2160
500	2170	2162
501	2174	2157
502	2182	2156
503	2189	2154
504	2192	2149
505	2196	2144
506	2200	2139
507	2203	2134
508	2207	2129
509	2211	2125
510	2214	2119
511	2218	2114
512	2221	2108
513	2224	2103
514	2228	2098
515	2231	2092
516	2234	2087
517	2237	2082
518	2240	2076
519	2244	2071
520	2247	2065
521	2250	2060
522	2253	2055
523	2256	2050
524	2259	2044
525	2263	2039
526	2266	2034
527	2269	2028
528	2272	2023
529	2277	2019
530	2280	2014
531	2283	2008
532	2286	2003
533	2290	1998
534	2293	1993
535	2296	1988
536	2300	1983
537	2303	1977
538	2306	1973
539	2310	1968
540	2314	1963
541	2317	1958
542	2321	1953
543	2324	1948
544	2328	1943
545	2331	1939
546	2335	1934
547	2339	1929
548	2342	1924
549	2346	1919
550	2349	1914
551	2353	1910
552	2358	1906
553	2362	1902
554	2367	1897
555	2372	1894
556	2376	1890
557	2380	1885
558	2385	1882
559	2389	1877
560	2393	1872
561	2396	1868
562	2400	1863
563	2405	1859
564	2408	1854
565	2411	1849
566	2415	1844
567	2419	1839
568	2422	1835
569	2426	1830
570	2430	1825
571	2433	1821
572	2437	1816
573	2440	1811
574	2444	1806
575	2448	1802
576	2451	1797
577	2455	1792
578	2459	1788
579	2462	1783
580	2466	1778
581	2471	1774
582	2474	1770
583	2478	1765
584	2482	1760
585	2485	1756
586	2489	1751
587	2493	1746
588	2496	1742
589	2500	1737
590	2504	1733
591	2508	1728
592	2512	1724
593	2515	1719
594	2519	1715
595	2523	1710
596	2526	1705
597	2530	1701
598	2533	1696
599	2539	1692
600	2544	1689
601	2548	1684
602	2559	1685
603	2572	1686
604	2580	1684
605	2583	1679
606	2588	1675
607	2593	1671
608	2597	1667
609	2601	1663
610	2605	1658
611	2610	1654
612	2614	1650
613	2618	1646
614	2624	1643
615	2629	1639
616	2632	1634
617	2637	1630
618	2642	1626
619	2645	1621
620	2649	1617
621	2655	1613
622	2658	1609
623	2663	1605
624	2673	1604
625	2677	1599
626	2681	1595
627	2687	1591
628	2692	1587
629	2695	1583
630	2701	1579
631	2707	1576
632	2710	1571
633	2714	1567
634	2720	1563
635	2723	1558
636	2727	1554
637	2731	1550
638	2736	1546
639	2741	1541
640	2745	1537
641	2751	1534
642	2760	1532
643	2765	1528
644	2777	1528
645	2784	1525
646	2787	1520
647	2792	1516
648	2796	1512
649	2801	1508
650	2805	1504
651	2809	1499
652	2812	1494
653	2816	1490
654	2820	1485
655	2823	1480
656	2827	1476
657	2831	1471
658	2835	1467
659	2839	1462
660	2842	1457
661	2847	1453
662	2850	1449
663	2855	1445
664	2861	1441
665	2865	1437
666	2869	1432
667	2872	1427
668	2876	1423
669	2880	1418
670	2884	1414
671	2888	1409
672	2891	1405
673	2895	1400
674	2899	1395
675	2902	1391
676	2906	1386
677	2909	1381
678	2913	1377
679	2919	1373
680	2925	1370
681	2928	1365
682	2932	1361
683	2936	1356
684	2941	1352
685	2946	1348
686	2950	1344
687	2964	1344
688	2970	1340
689	2976	1337
690	2981	1333
691	2988	1330
692	2992	1325
693	2996	1321
694	3000	1316
695	3006	1312
696	3009	1308
697	3012	1303
698	3016	1298
699	3022	1295
700	3025	1290
701	3029	1286
702	3033	1281
703	3038	1277
704	3042	1273
705	3045	1268
706	3049	1263
